Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. ,Desired Height (in),Favorite Sport,Procastinator,Men or Women inspiration,Masculinity
8/26/2019 17:39,Coldplay,"6'2""","Edinburgh, Scotland",Jesus Christ,"London, England",4,pizza,Football,hors d'oeuvre,4,Less,1700,"""Don't adventures ever have an end? I suppose not. Someone else always has to carry on the story."" -J. R. R. Tolkien",74,Football,1,0,4
8/26/2019 18:57,Jason Mraz,5.5ft,Beijing,My dad,France,3,no opinion,basketball,hors d'oeuvre,4,Less,1999, It always seems impossible until it’s done.,66,Basketball,1,0,3
8/26/2019 19:00,Beyonce,"5'5""","Freiburg, Germany",Trevor Noah,Singapore,4,casserole,Dance,hors d'oeuvre,3,More,2020,Let's never be the kind of people who do things lukewarmly. - David McCollough,65,Misc,1,0,3
8/26/2019 19:00,,,,,,,,,,5,,,Let's never be the kind of people who do things lukewarmly. - David McCollough,68,Misc,1,0,5
8/26/2019 21:07,JSP,6'5,Paris,Chopin,Spain,4,no opinion,soccer,accommodate,2,Less,0,“You Learn More From Failure Than From Success. Don’t Let It Stop You. Failure Builds Character.” ,77,Soccer,1,0,4
8/27/2019 17:34,"Bob Dylan, Sam Smith, James Blunt and a bunch of others","Same as now - 5'5""",Singapore,Charles Bukowski,Moon,3,no opinion,None,hors d'oeuvre,3,Less,1919,"I think, therefore I am.",65,Misc,1,0,2
1/3/2020 23:34,Kenshi Yonezu,"5'3""","Sydney, Australia",Sean Miyashiro,Dubai,3,pizza,Volleyball and figure skating,hors d'oeuvre,1,Less,1920,Push yourself because no one else is gonna do it for you,63,Misc,0,0,2
1/6/2020 15:25,Jimmy Buffett,"6'04""",London,Sir Author Conan Doyle,"Maui, Hawaii",3,pizza,Football,hors d'oeuvre,5,Less,1984,"""There's a lot of blood, sweat, and guts between dreams and success.""-Bear Bryant",76,Football,0,0,8
1/7/2020 13:32,,"6'1""",Denver,Elon Musk,Japan,4,pizza,Lacrosse,hors d'oeuvre,8,Less,3000,,73,Misc,0,0,7
1/8/2020 9:46,David Bowie,"5'6""",San Francisco,My paternal grandfather,London,5,no opinion,Roller Derby,hors d'oeuvre,2,Less,1976,"""I'm just an individual who doesn't feel that I need to have somebody qualify my work in any particular way. I'm working for me."" - Bowie",66,Misc,0,0,3
1/8/2020 11:44,Hozier,"5'8""",Amsterdam,Griffin McElroy ,Sweden,4,pizza,Baseball ,hors d'oeuvre,6,More,Sometime in the 1920s,Every day may not be a good day but there is good in every day.,68,Baseball,0,0,5
1/8/2020 11:48,Luke Combs,"6'5""",Boulder Colorado,Abraham Lincoln,Iceland ,4,pizza,Football,hors d'oeuvre,10,Less,2121,"""Hardships often prepare ordinary people for an extraordinary destiny."" - C. S. Lewis",77,Football,0,0,8
1/8/2020 13:32,Trippie Redd,6'3,Dubai,Trippe Redd,Italy,4,pizza,Football,daiquiri,6,Less,2286,"""Would you rather be feared or loved? Both. I want them to scared about how much they love me."" -Michael Scott",75,Football,0,0,10
1/8/2020 13:35,Trippie Redd ,"6'2""","Arcola, IL ",Tiger Woods ,Aruba ,5,no opinion,Football,hors d'oeuvre,4,More,1970,"""Winning isn't everything, it's the only thing."" - Vince Lombardi ",74,Football,0,0,9
1/8/2020 13:41,Lil Skies,6'4,Seattle,Genghis Khan,Dubai,5,pizza,Baseball,hors d'oeuvre,10,More,2000,Act as if what you do makes a difference. It does.,76,Baseball,0,0,10
1/8/2020 13:45,The Beatles,6 foot 4 inches,"Paris, France",Nikola Tesla,Greece,5,casserole,Football,daiquiri,3,More,1965,"With the new day comes new strength and new thoughts.

Eleanor Roosevelt",76,Football,0,0,8
1/8/2020 13:46,J balvin,6'3,Miami,Paul Walker,Europe,4,pizza,Football,hors d'oeuvre,3,More,1st year,"If you want to succeed, as bad as you want to breath. Then you will be successful ",75,Football,0,0,4
1/8/2020 13:47,chance the rapper,"6' 1""",san diego,virgil abloh,Bahamas,5,casserole,football,lieutenant,3,More,1992,the best way to ruin something amazing is to compare it to something else,73,Football,0,0,9
1/8/2020 13:49,Gorillaz,5'9,San Francisco,Chris Hemsworth,Cancun,4,pizza,Soccer,hors d'oeuvre,5,More,2008,"""Freedom is something you have to fight for, rather than something you're given. Being free means being prepared to carry that burden""",69,Soccer,0,0,3
1/8/2020 14:58,Bille Eilish,"5'7""",San Francisco,My Grandmother,Hawaii,5,pizza,Horse-riding,hors d'oeuvre,3,Less,1984,It always seems impossible until it's done - Nelson Mandela,67,Misc,0,0,0
1/8/2020 15:12,Ariana Grande,i like being 5'4'',Boston,My dad,Thailand,5,pizza,soccer,hors d'oeuvre,3,Less,2018,"""Think like a  queen. A queen is not afraid to fail. Failure is another stepping stone to greatness."" -Oprah",64,Soccer,0,0,0
1/8/2020 15:15,Shawn James,"6' 0""","Duluth, Minnesota",Keanu Reeves,Hawaii,5,pizza,Swimming,hors d'oeuvre,6,More,2222,"""Life is all about resolve. Outcome is secondary.""",72,Misc,0,0,7
1/8/2020 15:27,Rainbow Kitten Surprise,5'7,"Nashville, TN",Noam Chomsky,Spain,5,pizza,football,hors d'oeuvre,2,More,2030,"""I began to realize how important it was to be an enthusiast in life. If you are interested in something, no matter what it is, go at it full speed. Embrace it with both arms, hug it, love it, and above all become passionate about it. Lukewarm is no good."" Roald Dahl",67,Football,0,0,7
1/8/2020 15:34,alternative rock,5'5,Laguna Beach,My sister,Vietnam,5,no opinion,Soccer ,hors d'oeuvre,4,Less,1910,When you feel like quitting think about why you started. ,65,Soccer,0,0,1
1/8/2020 16:18,the Rippingtons,5'7,Makati,my dad,Samoa,4,pizza,basketball,hors d'oeuvre,1,Less,2012,"The simple things are also the most extraordinary things, and only the wise can see them.",67,Basketball,0,0,5
1/8/2020 16:18,Drake,6 feet 3 inches,Paris,Abraham Lincoln,Hawaii,5,casserole,Football,daiquiri,3,Less,2100,"""You miss 100% of the shots you don't take"" -Wayne Gretzky",75,Football,0,0,6
1/8/2020 16:38,Chance the Rapper or Ariana Grande,5'4,New York ,Oprah ,Greece ,5,pizza,Basketball,hors d'oeuvre,4,More,1994,"Don't Dream your life, Live your Dream ",64,Basketball,0,0,2
1/8/2020 17:49,Kanye ,"5'7""","Barcelona, Spain",Barack Obama ,Antarctica,5,pizza,Football,hors d'oeuvre,3,More,1920,"Past and future obviously have no reality of their own. Just as the moon has no light of its own, but can only reflect the light of the sun, so are past and future only pale reflections of the light, power, and reality of the eternal present. Their reality is “borrowed” from the Now.",67,Football,1,0,7
1/8/2020 22:02,Katy Perry,5'2,"Carrollton, Texas ",Mom ,"Canada, Taiwan, Korean, Vietnam, Hawaii, New York",4,pizza,Volleyball ,hors d'oeuvre,3,Less,2001,"Don’t cry because it’s over, smile because it happened. ― Dr. Seuss",62,Misc,1,0,0
1/9/2020 0:20,Hozier,5’6”,Copenhagen,Iris Apfel,Peru,5,no opinion,Soccer,lieutenant,3,Less,3000,“Sometimes you will never know the value of a moment until it becomes a memory”,66,Soccer,1,0,2
1/9/2020 9:10,rap/ R&B,"5'11""","Dublin, Ireland",Karl Landsteiner,Greece,3,pizza,Basketball,hors d'oeuvre,4,More,1918,"""We cannot become what we want by remaining what we are"" - Max Depree",71,Basketball,1,0,7
1/9/2020 19:26,Future,6 foot 3 inches,Chicago,Jesus,Italy,5,no opinion,Soccer,hors d'oeuvre,6,More,80's,you miss 100% of the shots you dont take,75,Soccer,1,0,9
1/10/2020 10:31,Eminem ,6’4,New York,Micheal Jordan ,Argentina ,3,pizza,Football,hors d'oeuvre,10,Less,1984,"The key to success is to focus on goals, not obstacles. ",76,Football,1,0,9
8/16/2020 23:13,"Panic! at the Disco, but overall diverse music taste","5'6""","Probably Howell, MI or Bloomington, IL",My dad,Germany,4,no opinion,"I'm not a sports fan, unfortunately",hors d'oeuvre,5,More,Either 2001 or 1942,"Yesterday is history, tomorrow is a mystery, but today is a gift, that is why they call it the present.",66,Misc,0,0,4
8/17/2020 8:56,lil baby and red hot chili peppers ,6'6,tokyo or amsterdamn,Nelson Mandela or Dave Chappelle,ibeza,4,pizza,hockey,liasion,2,Less,1968,"The worst thing to call somebody is crazy. It's dismissive. ""I don't understand this person. So they're crazy."" That's bullshit. These people are not crazy. They strong people. Maybe their environment is a little sick.",78,Hockey,0,0,8
8/17/2020 8:56,J Cole ,"6'4""",NYC,Morgan Freeman ,"Hawaii, Maui ",5,pizza,Lacrosse ,lieutenant,6,More,2100,"Ignorance brings chaos, not knowledge. ",76,Misc,0,0,6
8/17/2020 11:03,Mac Miller,6’4” (current height),Chicago,Mac Miller,Jamaica,5,pizza,Lacrosse or Hockey,lieutenant,5,More,1776,"“You miss 100% of the shots you don’t take” -Wayne Gretzky, the GOAT",76,Hockey,0,0,7
8/17/2020 12:10,The Eagles,"6'5""",Seattle,Me from the future,The super clear ocean I forget what its called,4,pizza,Football,hors d'oeuvre,3,More,3000,"""With great power comes great responsibility"" ",77,Football,0,0,6
8/17/2020 12:10,The Arcs,6'3,Seattle,Nikola Tesla,Rome,5,casserole,lacrosse,hors d'oeuvre,4,Less,3020,The secret of getting ahead is getting started.,75,Misc,0,0,7
8/17/2020 12:11,Kanye West ,"6'2""",Chicago ,My mom ,My hometown ,4,pizza,Soccer ,hors d'oeuvre,4,Less,2015,"""Never chase money or materials, chase excellence and the rest will follow"" - Aamir Khan in the movie 3 Idiots ",74,Soccer,0,0,5
8/17/2020 12:11,Kenny Chesney,6'3,San Diego,FDR,Greece,4,pizza,Basketball,daiquiri,4,Less,1776,Our struggles determine our successes.,75,Basketball,0,0,9
8/17/2020 12:11,Travis Scott,6 ft 2 inches,L.A,Great great great grandparent (whoever that is),Cancun,4,no opinion,Soccer,hors d'oeuvre,7,More,1999,"""The purpose of our lives is to be happy""",74,Soccer,0,0,8
8/17/2020 12:11,The Killers,"6"" 1'","Bar Harbor, Maine",Teddy Roosevelt,Scandinavia ,5,casserole,Football,hors d'oeuvre,5,Less,1945,"“The purpose of life is not to be happy. It is to be useful, to be honorable, to be compassionate, to have it make some difference that you have lived and lived well.”  - Ralph Waldo Emerson ",73,Football,0,0,7
8/17/2020 12:11,hard question,6 feet,seattle?,elon musk,somewhere tropical,4,pizza,baseball,hors d'oeuvre,6,More,3000,“The secret of getting ahead is getting started.”,72,Baseball,0,0,8
8/17/2020 12:11,Hiroyuki Namba,6'2,"Vienna, Austria",Luo Guanzhong,"The Free, Independent, and Strictly Neutral city of Krakow",3,pizza,Fencing,daiquiri,3,More,1902,"""All worlds begin in darkness, and so shall all end."" -Ansem, Seeker of Darkness",74,Misc,0,0,8
8/17/2020 12:12,Nico Collins,"6'0""",Tokyo,Mikhail Gorbachev,Iceland,3,pizza,Gymnastics,hors d'oeuvre,4,Less,1920,"7 times down, 8 times up",72,Misc,0,0,3
8/17/2020 12:13,Led Zepplin,"6'7""",Florence,Mike Tyson,Greece,5,pizza,Basketball,hors d'oeuvre,6,Less,500 BC,Get comfortable being uncomfortable,79,Basketball,0,0,9
8/17/2020 12:13,Post Malone,6'7,Seattle,Jackie Robinson,Australia,4,casserole,College Football,hors d'oeuvre,7,Less,Sometime in the 1970s,Hard work beats talent when talent doesn't work hard,79,Football,0,0,8
8/17/2020 12:13,,6 foot 2 inches,New York City,Nikola Tesla,Melbourne,4,pizza,Football,hors d'oeuvre,5,Less,1920s,"Don’t limit yourself. Many people limit themselves to what they think they can do. You can go as far as your mind lets you. What you believe, remember, you can achieve",74,Football,0,0,7
8/17/2020 12:13,Ed Sheeran,"5'7""","Stuttgart, Germany",Michelle Obama,Thailand,5,pizza,Basketball,hors d'oeuvre,2,More,1999,"“To laugh often and much; to win the respect of the intelligent people and the affection of children; to earn the appreciation of honest critics and endure the betrayal of false friends; to appreciate beauty; to find the beauty in others; to leave the world a bit better whether by a healthy child, a garden patch, or a redeemed social condition; to know that one life has breathed easier because you lived here. This is to have succeeded.” - Ralph Waldo Emerson",67,Basketball,0,0,3
8/17/2020 12:17,Very variable but currently it is Jack Stauber,5'10'',Dublin,Constantine the Great,Singapore,4,no opinion,"if Video games count, Super Smash Bros. If not, football. Sometimes baseball when they're not playing the game and doing wacky stuff",daiquiri,6,Less,1184 BC,"""Whatever you are, be a good one""",70,Football,0,0,10
8/17/2020 12:17,Kanye West Rap/Soul very unique,6',London,Shia LaBeouf ,Bora Bora,5,pizza,Basketball,hors d'oeuvre,4,More,1998,"""If people are doubting how far you can go, go so far that you can’t hear them anymore.”",72,Basketball,0,0,6
8/17/2020 12:58,Lake Street Dive ,"5'10""","Cape Town, SA ",Dolly Parton ,New Zealand ,4,no opinion,Volleyball ,lieutenant,5,More,100 AD,"""People will forget what you said, people will forget what you did, but people will never forget how you made them feel."" ~ Maya Angelou ",70,Misc,0,0,1
8/17/2020 13:41,Pop ,6 foot ,Sydney AUS,God ,Australia/EU,4,pizza,Boxing ,hors d'oeuvre,10,More,2000 B.C,You miss 100% of the shots you don’t take- Michael scott,72,Misc,0,0,7
8/17/2020 13:43,Billie Eilish ,5'5,Dublin,Alexandria Ocasio Cortez,Bora Bora,4,pizza,Basketball,hors d'oeuvre,5,Less,3020,“The secret of getting ahead is getting started.” – Mark Twain,65,Basketball,0,0,0
8/17/2020 13:44,Chief Keef,6'2,"Tel Aviv, Israel",Brian Urlacher,Israel,5,pizza,Football,hors d'oeuvre,3,Less,1000 BC,Burn the boats,74,Football,0,0,10
8/17/2020 13:54,Billy Joel,6'0,London,Nikola Tesla,Japan,4,pizza,Fencing,daiquiri,2,Less,1893,"""Even the darkest night will end and the sun will rise"" - Les Miserables",72,Misc,0,0,8
8/17/2020 13:56,I do not have one,5' 4'',Ontario CA OR Kyoto Japan,,"Tokyo, Japan",5,pizza,Soccer,daiquiri,1,Less,2018,"""If you avoid conflict to keep the peace you start a war inside yourself"" -Unknown",64,Soccer,0,0,5
8/17/2020 14:00,Kid Cudi,"6'2""",Vancouver,Elon Musk,Swiss Alps,5,pizza,Soccer,hors d'oeuvre,5,Less,2100,“Would I rather be feared or loved? Easy. Both. I want people to be afraid of how much they love me.”,74,Soccer,0,0,9
8/17/2020 14:01,Zhou Shen,170cm,Guilin,living,Guilin,3,no opinion,tennis,hors d'oeuvre,5,Less,2000,"The nightfalls used to come late in the past，

Everything was slow, the bike, the horse, and the post，

a lifetime was all but enough to be in love with one.",67,Misc,0,0,5
8/17/2020 14:16,,"5'6""",Chicago ,,Australia ,4,pizza,Hockey ,hors d'oeuvre,2,More,,,66,Hockey,0,0,5
8/17/2020 14:17,Khalid ,"5'8""","Toronto, Canada ",,"Cancun, Mexico ",5,pizza,Softball,hors d'oeuvre,5,More,1992,,68,Misc,0,0,0
8/17/2020 14:22,Frank Ocean,5'10,Barcelona,Harry Styles,Bali,5,pizza,Hockey,lieutenant,4,More,1997,"""When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.” ― Helen Keller",70,Hockey,0,0,2
8/17/2020 14:22,Post Malone,6ft 2in,Chicago,Michael Jordan,Puerto Rico,5,pizza,Football,hors d'oeuvre,6,Less,1920's,the only place success comes before work is in the dictionary.,74,Football,0,0,7
8/17/2020 14:38,Billie Eilish,"5'6""",Boston or London,Queen Elizabeth II,Europe,5,pizza,Hockey,hors d'oeuvre,6,Less,maybe the future im not sure what year though,“Choose a job you love and you'll never have to work a day in your life” – Confucius (this isn't very inspirational but I like it),66,Hockey,0,0,0
8/17/2020 15:00,Avenged Sevenfold,6'5,Kattegat,Chester Bennington,Egypt,5,casserole,Football,hors d'oeuvre,4,Less,1927,"""If you ain't first, you're last.""- Ricky Bobby",77,Football,0,0,9
8/17/2020 15:12,The Weeknd,6'6,"Denver, CO",Harrison Bader,Hawaii,5,pizza,Baseball,hors d'oeuvre,5,More,1789,"""It's hard to beat a person who never gives up."" - Babe Ruth",78,Baseball,0,0,7
8/17/2020 15:16,Taylor Swift ,5.6ft,Paris ,Warren Buffett,Iceland,3,no opinion,Basketball ,hors d'oeuvre,3,More,The year when I’m 30,Dream bigger,66,Basketball,0,0,5
8/17/2020 15:42,Jack Johnson,"6'3""",London,Zach Braff,Hawaii,4,pizza,Football,lieutenant,3,Less,1999,Do or do not. There is no try. -Yoda,75,Football,0,0,7
8/17/2020 15:44,Imagine Dragons,"6' 2""",Tokyo,Thomas Jefferson,Tokyo,5,no opinion,Football,hors d'oeuvre,3,Less,3000,"The currents before us are ever changing. We must adapt, press forward.",74,Football,0,0,6
8/17/2020 16:41,"This has to be one of the hardest questions that I'm ever asked, but if I had to choose it would be a very tight race for first between Cage the Elephant, Ben Folds Five, Oliver Tree, Joji, and Arctic Monkeys just to name a couple.","At least 6 foot, that is all I request.","Most likely Los Angeles, solely because many of my friends live there and I much prefer hot weather of cold weather.","I'm not for sure, but off the top of my head probably a musical artist like Kurt Cobain or someone like that.","Somewhere nice and warm and with a different biome/animals from anything I've encounter before, like the Philippines",5,no opinion,Football or wrestling,hors d'oeuvre,10,More,Sometime far in the future to see how we've advanced as a species and world.,"""Hard work beats talent when talent doesn't work hard."" or ""Anyone can do it, but few are willing to do the work.""",72,Football,1,0,8
8/17/2020 19:35,Taylor Swift ,5.6ft,Paris ,Warren Buffett,Iceland,3,no opinion,Basketball ,hors d'oeuvre,3,More,The year when I’m 30,Dream bigger,66,Basketball,1,0,5
8/17/2020 19:39,EDM,"5""10","Wollongong, Australia",my great grandpa,Bali,5,no opinion,basketball,hors d'oeuvre,3,More,1990,believe you can and you're halfway there,70,Basketball,1,0,5
8/17/2020 21:56,Taylor Swift ,5.6ft,Paris ,Warren Buffett,Iceland,3,no opinion,Basketball ,hors d'oeuvre,3,More,The year when I’m 30,Dream bigger,66,Basketball,1,0,5
8/18/2020 20:36,Juice WRLD,"6'4""",Tokyo ,Elton John,Machu Picchu,5,pizza,Lacrosse,lieutenant,10,More,1969,"""Don't take life to serious, no one makes it out alive""",76,Misc,1,0,4
8/20/2020 0:16,Travis Scott,5'9,Chicago,Neil Armstrong,Wherever the next fifa world cup would be,5,no opinion,Soccer,hors d'oeuvre,4,Less,2019,"""Its my decision to trust you and its your choice to break that trust"" ~ A TV Show",69,Soccer,1,0,8
8/21/2020 16:30,Taylor Swift ,5.6ft,Paris ,Warren Buffett,Iceland,3,no opinion,Basketball ,hors d'oeuvre,3,More,The year when I’m 30,Dream bigger,66,Basketball,1,0,5
